"","logFC","logCPM","PValue"
"miRNA_ENSG00000278267.1__17369__17399",0.266810963332872,-2.56997688604101,0.935790584984547
"miRNA_ENSG00000278267.1__17384__17414",0.467771799419842,-0.687731290426328,0.427122789202442
"miRNA_ENSG00000278267.1__17399__17429",0.503256558038042,-0.824315052606785,0.356817212366252
"miRNA_ENSG00000278267.1__17429__17436",0.493525602096426,-0.830616182262238,0.3705474402721
"miRNA_ENSG00000284332.1__30366__30396",-1.98333170725622,-3.13120858561565,0.139815381793406
"miRNA_ENSG00000284332.1__30381__30411",-1.98333139796309,-3.13120858561565,0.139815852634855
"miRNA_ENSG00000284332.1__30396__30426",-1.98332220498365,-3.13120858561565,0.139829850905956
"miRNA_ENSG00000284332.1__30411__30441",-0.24211103199109,-3.09766138249401,1
"miRNA_ENSG00000284332.1__30426__30456",-0.242096360606503,-3.09766138249401,1
"miRNA_ENSG00000284332.1__30441__30471",-0.242080188852628,-3.09766138249401,1
"miRNA_ENSG00000273874.1__187891__187921",0.613090361092603,-2.45781303567245,0.677413075553603
"miRNA_ENSG00000273874.1__187906__187936",0.879610953772193,-0.831366558144068,0.148819297305255
"miRNA_ENSG00000273874.1__187921__187951",0.920842591244237,-1.03070571868425,0.136091064369605
"miRNA_ENSG00000273874.1__187951__187958",0.900194892239225,-1.04411307702984,0.150354841304761
"miRNA_ENSG00000278791.1__632325__632355",3.00517359627172,-0.88948260474732,0.0143715390688963
"miRNA_ENSG00000278791.1__632340__632370",1.68188295623481,-0.786078128798619,0.0856266383526946
"miRNA_ENSG00000278791.1__632355__632385",0.922145255014291,-0.709006546046798,0.287631268268126
"miRNA_ENSG00000278791.1__632370__632400",0.641732736703625,-0.900349732297386,0.494727015049745
"miRNA_ENSG00000278791.1__632400__632413",0.372027731351353,-1.24740775714098,0.715945132120081
"miRNA_ENSG00000207730.3__1167104__1167134",4.82149730176565,3.59461570784349,1.21733750312184e-05
"miRNA_ENSG00000207730.3__1167119__1167149",4.82149730283473,3.59461570784349,1.21800408774538e-05
"miRNA_ENSG00000207730.3__1167134__1167164",3.32967270974614,7.92406525365448,0.00127865411034047
"miRNA_ENSG00000207730.3__1167149__1167179",3.28092659449605,7.85115674841172,0.00153732315457591
"miRNA_ENSG00000207730.3__1167164__1167194",3.28088659133833,7.8511180851798,0.00153800833362681
"miRNA_ENSG00000207730.3__1167194__1167198",2.01104315511578,-1.80359750445466,0.172105119777496
"miRNA_ENSG00000207607.3__1167863__1167893",4.81882200561272,3.43694968662777,2.29734445998105e-05
"miRNA_ENSG00000207607.3__1167878__1167908",4.81882197367785,3.43694968662777,2.29689658836978e-05
"miRNA_ENSG00000207607.3__1167893__1167923",3.9316913890582,8.11173219156223,0.000255433679032466
"miRNA_ENSG00000207607.3__1167908__1167938",3.90471291112956,8.05488870721374,0.000288622114383868
"miRNA_ENSG00000207607.3__1167938__1167952",-0.234216022422064,2.36883949729351,0.677119200154075
"miRNA_ENSG00000198976.1__1169035__1169065",2.12176310130063,5.50674477643152,0.00959018658069461
"miRNA_ENSG00000198976.1__1169050__1169080",2.12176309916849,5.50674477643152,0.0095915637756405
"miRNA_ENSG00000198976.1__1169080__1169087",3.35119774066708,-2.70443184023509,0.409672362964121
"miRNA_ENSG00000278073.1__1296110__1296140",2.42107791759673,-0.720107145225584,0.0112784805368156
"miRNA_ENSG00000278073.1__1296125__1296155",1.99748910442107,-0.531192943626401,0.0222751450446916
"miRNA_ENSG00000278073.1__1296140__1296170",0.447092991977063,-2.29817585943423,0.896761165151491
"miRNA_ENSG00000283712.1__1312502__1312532",0.103739907439738,-3.05145542490189,1
"miRNA_ENSG00000283712.1__1312517__1312547",0.653581700831177,-1.87170416144815,0.481962412241078
"miRNA_ENSG00000283712.1__1312532__1312562",0.688818505780077,-1.9355125926794,0.49961019851079
"miRNA_ENSG00000283712.1__1312562__1312566",0.609706647739284,-3.16769571170277,1
"miRNA_ENSG00000284372.1__1339650__1339680",0.722314666460626,-0.375591328106586,0.132409731870538
"miRNA_ENSG00000284372.1__1339665__1339695",0.722313755972853,-0.375591328106586,0.132434091101723
"miRNA_ENSG00000207776.1__3560695__3560725",-1.02936622217303,-0.217473104537459,0.0359421005561509
"miRNA_ENSG00000207776.1__3560710__3560740",-1.02936978634307,-0.217473104537459,0.035959324495279
"miRNA_ENSG00000207776.1__3560725__3560755",-1.02937252834702,-0.217473104537459,0.0359725806570483
"miRNA_ENSG00000264101.1__5862687__5862717",-0.130361692159146,-2.75199343008096,0.795036526872852
"miRNA_ENSG00000264101.1__5862702__5862732",-0.13032817579754,-2.75199343008096,0.795053414673444
"miRNA_ENSG00000274258.1__8866502__8866532",-0.342368543365018,-2.99959604121374,0.870812607368206
"miRNA_ENSG00000274258.1__8866517__8866547",-0.342362409608477,-2.99959604121374,0.870828699211842
"miRNA_ENSG00000274258.1__8866547__8866577",-1.54979174851499,-2.91153469053704,0.292275572122207
"miRNA_ENSG00000274258.1__8866577__8866590",-1.54981090746923,-2.91153469053704,0.292249803503679
"miRNA_ENSG00000284357.1__9151668__9151698",-0.590720301656205,-2.51435695834273,0.598381879605379
"miRNA_ENSG00000284357.1__9151683__9151713",-0.732323794991374,-2.49299755039666,0.50713604445064
"miRNA_ENSG00000284357.1__9151698__9151728",0.145919179976973,-2.1335676230766,1
"miRNA_ENSG00000284357.1__9151713__9151743",0.140622102694518,1.87480320825188,0.837163455101486
"miRNA_ENSG00000284357.1__9151728__9151758",0.151260732169672,1.85726614787145,0.823845315987236
"miRNA_ENSG00000284357.1__9151743__9151773",0.151260787561439,1.85726614787145,0.823829807183107
"miRNA_ENSG00000265521.1__9967381__9967411",-0.507576794160297,-0.247010824103088,0.251788151011261
